地名,センター,スチック製容器包装類,ビン カン 紙類 布類,燃やすごみ,燃やさないごみ 有害ごみ
相之川,,水,月,火 木 土,金
新井,,水,月,火 木 土,金
市川,,火,木,月 水 金,土
市川南,,金,水,火 木 土,月
伊勢宿,,月,金,火 木 土,水
稲越町,,木,土,月 水 金,火
入船,,月,金,火 木 土,水
大洲,,金,水,火 木 土,月
大野町,,木,土,月 水 金,火
大町,,木,土,月 水 金,火
大和田,,金,水,火 木 土,月
押切,,月,金,火 木 土,水
鬼越,,土,火,月 水 金,木
鬼高,,金,水,火 木 土,月
欠真間,,水,月,火 木 土,金
柏井町,,土,火,月 水 金,木
河原,,月,金,火 木 土,水
加藤新田,,月,金,火 木 土,水
上妙典,,月,金,火 木 土,水
香取,,水,月,火 木 土,金
北方,,土,火,月 水 金,木
北国分,,火,木,月 水 金,土
行徳駅前,,月,金,火 木 土,水
国府台,,火,木,月 水 金,土
高谷,,月,金,火 木 土,水
高谷新町,,月,金,火 木 土,水
国分,,火,木,月 水 金,土
幸,,月,金,火 木 土,水
塩浜,,水,月,火 木 土,金
塩焼,,月,金,火 木 土,水
島尻,,水,月,火 木 土,金
下貝塚,,木,土,月 水 金,火
下新宿,,月,金,火 木 土,水
下妙典,,月,金,火 木 土,水
新田1 5,,土,火,月 水 金,木
新田2 3 4,,金,水,火 木 土,月
末広,,月,金,火 木 土,水
菅野,,木,土,月 水 金,火
須和田,,火,木,月 水 金,土
関ヶ島,,月,金,火 木 土,水
曽谷,,木,土,月 水 金,火
高石神,,土,火,月 水 金,木
高浜町,,月,金,火 木 土,水
宝,,月,金,火 木 土,水
田尻,,金,水,火 木 土,月
千鳥町,,月,金,火 木 土,水
稲荷木,,金,水,火 木 土,月
富浜,,月,金,火 木 土,水
中国分,,火,木,月 水 金,土
中山,,土,火,月 水 金,木
新浜,,水,月,火 木 土,金
原木,,月,金,火 木 土,水
東大和田,,金,水,火 木 土,月
東国分,,火,木,月 水 金,土
東菅野,,木,土,月 水 金,火
日之出,,月,金,火 木 土,水
平田1 2,,土,火,月 水 金,木
平田3 4,,金,水,火 木 土,月
広尾,,水,月,火 木 土,金
福栄,,水,月,火 木 土,金
二俣,,月,金,火 木 土,水
二俣新町,,月,金,火 木 土,水
奉免町,,土,火,月 水 金,木
北方町4丁目,,土,火,月 水 金,木
堀之内,,火,木,月 水 金,土
本行徳,,月,金,火 木 土,水
本塩,,月,金,火 木 土,水
真間,,火,木,月 水 金,土
湊,,月,金,火 木 土,水
湊新田,,水,月,火 木 土,金
南大野,,木,土,月 水 金,火
南行徳,,水,月,火 木 土,金
南八幡,,金,水,火 木 土,月
宮久保,,木,土,月 水 金,火
妙典,,月,金,火 木 土,水
本北方,,土,火,月 水 金,木
八幡,,土,火,月 水 金,木
若宮,,土,火,月 水 金,木
